time,CPI,CPICore,BPI,PPI,YWPI,HPI1,HPI2,GDPDeflator,RGDP,NGDP,FAI,RSCG,Import,Export,RailFreight,AirPassenger,PortContainer,Electricity,Steel,Cement,Vehicle,REInv,RESales,GovRev,GovExp,FDI,UnemRate,LoanRate1Y,DepositRate1Y,TBond1Y,Repo7D,USDCNY,CurrencyIndex,M0,M1,M2,Loan,TSF,SHSE,SZSE,ConsumerConfidence,BusinessConfidence,LeadingIndex,IPSalesRatio,IPDebtRatio,IPProfitMargin,IPInventoryTurnover,IPROA,INDVA
2000.083333,0.108,0.134,-0.133,-0.128,0.121,-0.669,-0.09,0.049,-1.416,-1.367,-1.106,0.206,8.776,-3.726,-1.339,2.307,10.774,-1.115,-5.65,-8.574,2.059,0.907,1.346,0.12,-13.066,-4.496,-0.044,-0.001,-0.002,-0.01,-0.014,0.002,2.023,-6.844,-1.482,-2.337,1.874,1.922,10.914,11.149,0.369,3.276,-1.712,0.125,-0.105,0.172,-0.705,0.009,-0.683
2000.166667,-0.206,-0.178,-0.104,-0.098,-0.191,-0.503,-0.033,-0.006,0.225,0.219,0.84,-0.465,-8.6,5.154,3.771,-2.431,-10.167,-1.964,4.78,6.429,2.892,1.946,1.287,2.038,5.846,24.432,-0.044,-0.001,-0.002,-0.03,-0.038,0.001,-1.347,3.1,2.163,2.931,-0.383,-0.363,4.72,6.77,0.372,3.276,4.477,-0.495,0.079,0.095,0.604,0.004,0.401
2000.25,-0.77,-0.74,-0.361,-0.355,-0.754,-0.335,0.024,0.199,0.857,1.056,-3.359,-0.074,0.272,-0.941,0.452,3.357,0.526,4.081,2.157,2.096,0.931,1.021,4.481,0.635,6.809,-17.663,-0.011,-0.001,-0.003,-0.024,-0.032,0.002,-0.217,1.203,2.161,0.336,0.025,0.049,1.826,1.088,0.257,0.975,2.865,0.577,-0.295,0.523,-0.823,0.025,1.09
2000.333333,-0.541,-0.509,-0.137,-0.131,-0.523,-0.132,0.006,0.023,0.524,0.546,-0.365,0.027,-0.356,1.612,-0.48,-0.05,-0.234,-0.32,-0.726,-0.896,4.838,-0.372,1.709,1.659,-3.935,-2.448,-0.011,-0.001,-0.003,-0.017,-0.023,-0.001,0.833,0.472,0.608,0.02,-0.942,-0.93,2.958,3.094,0.493,0.975,-6.285,-0.271,0.092,0.298,3.452,0.027,1.081
2000.416667,-0.32,-0.287,-0.031,-0.025,-0.301,0.072,-0.011,0.048,0.165,0.213,3.707,0.013,9.235,5.68,1.338,-2.618,11.232,-0.511,-1.473,-3.175,-1.642,1.986,2.143,1.659,-1.386,2.253,-0.011,-0.002,-0.003,-0.014,-0.02,0.003,-1.627,0.225,0.614,0.238,-2.461,-2.468,1.586,3.062,0.145,0.975,0.907,0.116,-0.096,0.679,-13.907,-0.003,-0.251
2000.5,-0.155,-0.12,0.155,0.162,-0.135,0.274,-0.029,0.181,0.441,0.622,-1.828,0.224,-5.274,-8.726,-1.22,1.888,-6.092,-0.407,0.02,0.494,-1.107,0.597,-3.054,0.822,0.897,0.041,0.022,-0.002,-0.003,0.003,0.001,0.003,0.123,0.25,0.589,-0.112,-0.28,-0.262,4.657,3.769,0.264,0.375,-1.208,-0.201,-0.08,-0.581,16.411,0.041,1.237
2000.583333,0.475,0.511,0.041,0.048,0.496,0.215,0.002,-0.443,0.207,-0.235,-2.45,0.455,7.61,5.388,-0.447,0.432,9.189,1.465,1.502,0.923,3.472,1.034,6.409,1.225,7.37,-3.021,0.022,-0.002,-0.003,-0.02,-0.028,0.002,0.813,0.231,0.434,0.087,0.135,0.158,-0.295,-1.164,0.383,0.375,0.636,-0.26,-0.052,0.8,-3.256,0.012,0.833
2000.666667,0.323,0.361,-0.174,-0.167,0.345,0.157,0.034,0.225,-0.309,-0.084,4.629,0.386,-5.321,-3.675,-0.29,-1.274,-6.103,0.014,-0.861,-0.857,-1.363,1.483,-4.06,0.754,-5.28,8.671,0.022,-0.002,-0.004,-0.008,-0.012,0.004,1.702,0.305,0.79,0.291,0.089,0.11,-5.835,-4.446,0.619,0.375,-1.097,-0.006,-0.098,0.254,-0.171,0.013,-0.763
2000.75,-0.152,-0.112,0.037,0.045,-0.127,0.099,0.065,-0.003,0.521,0.518,-1.86,0.682,1.141,2.13,-0.383,12.494,1.526,1.257,-0.914,-2.657,3.894,0.249,7.947,0.852,5.49,20.047,-0.011,-0.002,-0.004,0.003,0.001,0.001,0.612,-0.185,0.09,-0.051,0.966,0.995,2.452,2.476,0.155,0.075,-0.857,0.024,-0.146,0.32,0.392,0.021,0.662
2000.833333,0.643,0.685,0.028,0.036,0.669,-0.195,-0.006,0.281,0.403,0.684,4.2,0.054,1.862,-5.063,0.516,-17.279,2.364,-0.766,0.794,-0.414,1.499,1.835,6.166,1.3,-3.768,-6.53,-0.011,-0.002,-0.004,0.011,0.011,0.002,0.851,0.953,0.924,-0.039,0.85,0.876,5.23,5.518,0.274,0.075,-1.967,0.221,0.003,0.161,-1.491,0.008,0.404
