DATE,RPI,UNRATE,PCE,FEDFUNDS,CPI,INDPRO,SP500,MPS
1/1/1990,8170.022,5.4,47.94,8.23,127.5,61.6352,339.97,0
2/1/1990,8195.397,5.3,47.698,8.24,128,62.1951,330.45,-0.00048198
3/1/1990,8203.337,5.2,47.859,8.28,128.6,62.4916,338.46,-0.02675571
4/1/1990,8255.647,5.4,47.95,8.26,128.9,62.3511,338.18,0
5/1/1990,8246.75,5.4,47.916,8.18,129.1,62.5353,350.25,-0.0119147
6/1/1990,8260.44,5.2,48.068,8.29,129.9,62.7479,360.39,0
7/1/1990,8288.531,5.5,48.166,8.15,130.5,62.6435,360.03,-0.07033472
8/1/1990,8236.691,5.7,48.181,8.13,131.6,62.8704,330.75,0
9/1/1990,8233.907,5.9,48.158,8.2,132.5,62.8839,315.41,0
10/1/1990,8167.115,5.9,47.889,8.11,133.4,62.4973,307.12,-0.01138917
11/1/1990,8168.212,6.2,47.845,7.81,133.7,61.7175,315.29,0.00449684
12/1/1990,8210.825,6.3,47.67,7.31,134.2,61.2885,328.75,-0.14684142
1/1/1991,8157.383,6.4,47.241,6.91,134.7,61.0842,325.49,-0.1247271
2/1/1991,8164.096,6.6,47.533,6.25,134.8,60.6387,362.26,-0.12434585
3/1/1991,8176.58,6.8,48.092,6.12,134.8,60.2973,372.28,-0.10242243
4/1/1991,8208.244,6.7,47.933,5.91,135.1,60.4524,379.68,-0.18635873
5/1/1991,8209.444,6.9,48.055,5.78,135.6,61.0587,377.99,0.00261455
6/1/1991,8252.295,6.9,48.063,5.9,136,61.5514,378.29,0
7/1/1991,8233.054,6.8,48.297,5.82,136.2,61.7201,380.23,0.01251608
8/1/1991,8248.575,6.9,48.224,5.66,136.6,61.7289,389.4,-0.08980968
9/1/1991,8273.586,6.9,48.247,5.45,137,62.2369,387.2,0.00233991
10/1/1991,8284.054,7,48.053,5.21,137.2,62.1718,386.88,-0.02049061
11/1/1991,8296.928,7,48.28,4.81,137.8,62.0894,385.92,-0.09976406
12/1/1991,8365.723,7.3,48.363,4.43,138.2,61.806,388.51,-0.27571226
1/1/1992,8405.155,7.3,49.068,4.03,138.3,61.4823,416.08,0
2/1/1992,8444.994,7.4,49.123,4.06,138.6,61.9192,412.56,0.00457179
3/1/1992,8457.388,7.4,49.213,3.98,139.1,62.4403,407.36,0
4/1/1992,8487.783,7.4,49.254,3.73,139.4,62.9199,407.41,-0.25893526
5/1/1992,8531.932,7.6,49.509,3.82,139.7,63.1268,414.81,0.01238169
6/1/1992,8566.719,7.8,49.643,3.76,140.1,63.1624,408.27,0
7/1/1992,8559.118,7.7,49.808,3.25,140.5,63.7348,415.05,-0.07221606
8/1/1992,8591.676,7.6,49.932,3.3,140.8,63.3802,417.93,0.00525726
9/1/1992,8558.368,7.6,50.257,3.22,141.1,63.5834,418.48,-0.00431514
10/1/1992,8515.933,7.3,50.426,3.1,141.7,64.0178,412.5,0.00268304
11/1/1992,8534.33,7.4,50.512,3.09,142.1,64.2628,422.84,-0.00918557
12/1/1992,8845.712,7.4,50.845,2.92,142.3,64.3599,435.64,-0.00961387
1/1/1993,8602.353,7.3,50.772,3.02,142.8,64.6135,435.23,0
2/1/1993,8642.143,7.1,50.866,3.03,143.1,64.9262,441.7,-0.00793754
3/1/1993,8619.726,7,50.728,3.07,143.3,64.8627,450.16,0.00885343
4/1/1993,8684.645,7.1,51.07,2.96,143.8,65.0423,443.08,0
5/1/1993,8682.682,7.1,51.248,3,144.2,64.8006,445.25,-0.02382891
6/1/1993,8671.95,7,51.434,3.04,144.3,64.9476,448.06,0
7/1/1993,8699.937,6.9,51.687,3.06,144.5,65.1142,447.29,0.00218926
8/1/1993,8718.737,6.8,51.739,3.03,144.8,65.0421,454.13,0.00268304
9/1/1993,8699.123,6.7,52.036,3.09,145,65.3749,459.24,0.00317284
10/1/1993,8662.656,6.8,52.117,2.99,145.6,65.863,463.9,0
11/1/1993,8684.88,6.6,52.263,3.02,146,66.1696,462.89,-0.00084095
12/1/1993,8986.914,6.5,52.447,2.96,146.3,66.5531,465.95,-0.0203899
1/1/1994,8808.902,6.6,52.59,3.05,146.3,66.7591,472.99,0
2/1/1994,8817.405,6.6,53.012,3.25,146.7,66.8019,471.58,0.13344468
3/1/1994,8840.918,6.5,53.019,3.34,147.1,67.4704,463.81,-0.03096104
4/1/1994,8923.036,6.4,53.243,3.56,147.2,67.8707,447.23,0.12949489
5/1/1994,8941.155,6.1,53.147,4.01,147.5,68.187,450.9,-0.01423935
6/1/1994,8929.074,6.1,53.465,4.25,147.9,68.645,454.83,0
7/1/1994,8944.497,6.1,53.43,4.26,148.4,68.7317,451.4,-0.01588847
8/1/1994,8957.46,6,53.782,4.47,149,69.1882,464.24,0.03673898
9/1/1994,8996.696,5.9,53.862,4.73,149.3,69.3935,466.96,-0.03142971
10/1/1994,9076.95,5.8,54.197,4.76,149.4,69.9576,463.81,0
11/1/1994,9074.779,5.6,54.237,5.29,149.8,70.4288,461.01,0.06404409
12/1/1994,9117.741,5.5,54.381,5.45,150.1,71.1273,455.19,-0.04902763
1/1/1995,9159.706,5.6,54.379,5.53,150.5,71.2635,465.25,0
2/1/1995,9180.168,5.4,54.278,5.92,150.9,71.1758,481.92,0.05412623
3/1/1995,9203.415,5.4,54.564,5.98,151.2,71.2796,493.15,0.01785999
4/1/1995,9214.181,5.8,54.475,6.05,151.8,71.1538,507.91,0
5/1/1995,9221.249,5.6,54.869,6.01,152.1,71.4997,523.81,-0.00969957
6/1/1995,9255.248,5.6,55.308,6,152.4,71.7327,539.35,0
7/1/1995,9286.334,5.7,55.158,5.85,152.6,71.4334,557.37,-0.24077084
8/1/1995,9299.788,5.7,55.428,5.74,152.9,72.3723,559.11,0.0418609
9/1/1995,9335.583,5.6,55.558,5.8,153.1,72.6543,578.77,0.06117591
10/1/1995,9349.228,5.5,55.342,5.76,153.5,72.5336,582.92,0
